"author,word1,word2,source"
"12,sponge bob,animation,AC"
"235,undertakers,people who perform a service for other people,AC"
"112,nothing,gained,AC"
"248,boers,south africa,AC"
"248,helper,aid,AC"
"133,sound advice,acoustics,AC"
"273,snow,deranged,AC"
"235,in,secure,AC"
"12,mmmm,alice,AC"
"248,grease,lightning,AC"
"297,devil,horns,AC"
"12,birdman,alcatraz,AC"
"1,exterminate,dalek,AC"
"312,rabbi,torah,AC"
"12,cluedo,game,AC"
"144,i'll stoat ya if ya touch ma tatties,whiskey,AC"
"248,wood,furniture,AC"
"302,radio,gaga,AC"
"12,squatter,homicide,AC"
"235,numbers,digits,AC"
"235,normal phenomenon,usual,AC"
"235,respite,hospice,AC"
"12,gymnastics,parallel bars,AC"
"111,twist,lemon,AC"
"12,proprietor,entrepreneur,AC"
"122,company,bad,AC"
"235,james mason,pamela mason's father,AC"
"12,zoo,asylum,AC"
"262,science fiction,book,AC"
"12,interstella 5555,caprica-six,AC"
"257,socrates,dialectic,AC"
"113,numbers,shapes,AC"
"281,feeling,tingly,AC"
"254,jack,car,AC"
"12,ford,foundation,AC"
"12,fruit,loops,AC"
"118,minerals,hank schrader,AC"
"302,marinade,wine,AC"
"118,metaphor,simile,AC"
"235,sheep,milk to make cheese out of,AC"
"254,muscle,fibre,AC"
"235,bone,soup,AC"
"302,bubbles,buttercup,AC"
"125,wrapping,up,AC"
"142,chocolate,cake,AC"
"254,cousin,relative,AC"
"248,come out and play,go,AC"
"12,floppy,disk,AC"
"299,p-38,anakin,AC"
"312,fool,jester,AC"
"235,generator,randomize,AC"
"221,dragonfly,swans,AC"
"254,negociation,truce,AC"
"312,monster,trucks,AC"
"122,cadet,cub,AC"
"12,shocked,zapped,AC"
"133,ernest hemingway,wayne,AC"
"309,pretzels,snack,AC"
"302,want,free,AC"
"12,islands,guam,AC"
"39,alert,klaxon,AC"
"312,spy,espionage,AC"
"12,differences,similarities,AC"
"235,camera,visual image,AC"
"12,chain,expensive,AC"
"12,blacksmith,horseshoe,AC"
"39,hand,jive,AC"
"235,prison,learning opportunity,AC"
"118,delerium,sandman,AC"
"12,manufacturing process,render,AC"
"235,sinuses,cavities,AC"
"39,comment,english,AC"
"12,sandals,straps,AC"
"312,kirk,douglas,AC"
"133,rectal,thermometer,AC"
"248,hard place,between,AC"
"200,bill der beaver,build-a-bear,AC"
"169,studies,experiments,AC"
"262,cat,dog,AC"
"39,ward,batman,AC"
"12,cardin,ben,AC"
"254,hop,bound,AC"
"235,head louse,school children,AC"
"12,buildings,capitol,AC"
"118,internet,hack,AC"
"12,parks and recreation,community services,AC"
"161,venice,tourist attraction,AC"
"312,daredevil,marvel,AC"
"133,fairy,cakes,AC"
"312,entrepreneur,visionary,AC"
"235,hooves,horseshoes,AC"
"315,atlas,compass,AC"
"312,center,fold,AC"
"309,gun,shot,AC"
"235,heroes and villians,dark,AC"
"12,competition,event,AC"
"262,anthony trollope,novelist,AC"
"309,oil,change,AC"
"254,tarzan,feral,AC"
"242,poet,artist,AC"
"221,stories known by many,stories known by few,AC"
"221,debt,enslaved,AC"
"172,hot,tongue,AC"
"133,sugar,rush,AC"
"235,pup,offisa pup,AC"
"39,wheels,tires,AC"
"12,book,ending,AC"
"273,same,grey,AC"
"302,nitrogen,oxygen,AC"
"191,campfire girls,cook kit,AC"
"161,pecan meal,cream of wheat,AC"
"312,change,metamorphosis,AC"
"12,swat,hammer,AC"
"235,bronte,bronie,AC"
"133,cylon,blonde,AC"
"235,bug,malfunction,AC"
"12,lady,pasta,AC"
"39,indigestion,tumms,AC"
"39,molasses,black,AC"
"262,home,alone,AC"
"133,# nine,#10,AC"
"122,splint,err,AC"
"97,foam,finger,AC"
"254,suit,hearts,AC"
"164,throat,sextant,AC"
"312,persephone,hades,AC"
"312,manager,staff,AC"
"235,yes,TRUE,AC"
"12,clip,whack,AC"
"273,soothing,waterfall,AC"
"235,despair,futility,AC"
"241,upper,drug,AC"
"118,woodland,elves,AC"
"133,murder,chocolate cake,AC"
"133,furry,bunny,AC"
"262,picksburgh,pennsylvania,AC"
"12,maslow,milgram,AC"
"262,numbers,letters,AC"
"254,cachexia is a medical term,part,AC"
"12,skyscraper,tower,AC"
"172,lol i'm going to run with,that one's easy,AC"
"39,whiskers,epic beard man,AC"
"309,nibbles,hors d'oeuvres,AC"
"12,light,chiffon,AC"
"312,lost,cause,AC"
"235,cat,small friendly mammal,AC"
"12,model a,generalfeldmarschall model,AC"
"273,manufacturer,boxes,AC"
"12,butter,popcorn,AC"
"235,snap pea,chickpea,AC"
"76,bliss,agony,AC"
"206,posset,possum,AC"
"235,costs more,costco,AC"
"12,work,grind,AC"
"39,secure,itty,AC"
"221,david cameron,divisive,AC"
"122,tornado,dorothy,AC"
"312,heart,attack,AC"
"133,revolution,viva,AC"
"312,war,worlds,AC"
"12,throne,commode,AC"
"100,hilarious,comedian,AC"
"235,weird n sad,weird n sad,AC"
"235,driver,impact driver,AC"
"178,fracked,skinjob,AC"
"12,big pretzel,matzos,AC"
"235,throw,heart,AC"
"133,chick,who,AC"
"12,pigeon,nuisance,AC"
"115,hegemony,greek,AC"
"235,cringe,reaction,AC"
"110,manual,instruction,AC"
"254,flicks,chicks,AC"
"172,herbert,flack,AC"
"248,practice,perfect,AC"
"12,url,syntax,AC"
"39,fossils,ancient,AC"
"39,no,way,AC"
"12,singer,sewing machine,AC"
"12,a la carte,menu,AC"
"12,fax,transmit,AC"
"161,athletics,sportsmanship,AC"
"12,scully,skinner,AC"
"133,air,balloon,AC"
"118,chaplin,ketone,AC"
"241,directors,pretentious,AC"
"309,lemonade,stand,AC"
"262,kent,united kingdom,AC"
"12,allergy,sneeze,AC"
"12,handle,handler,AC"
"235,remote control,convenient,AC"
"43,sew,tailor,AC"
"39,life,time,AC"
"235,skeletons,under-structure,AC"
"248,bath,salts,AC"
"12,science,fair,AC"
"172,bryan,messiah,AC"
"39,beatles,walrus,AC"
"235,linux,unix,AC"
"286,knoll,tarpedo,AC"
"12,chocolate,smile,AC"
"302,everlasting,survivor,AC"
"12,me too,peoples' car,AC"
"142,walk,away,AC"
"118,swatter,arrest,AC"
"131,inflammation,burn,AC"
"118,persecution,department of work & pensions,AC"
"235,refresh,renew,AC"
"241,proactive,reactive,AC"
"125,metal,heavy metal,AC"
"115,printer,paper,AC"
"39,genetically-modified 'foods,theft,AC"
"133,richard attenborough,x' marks the spot,AC"
"12,periodic,table,AC"
"188,circumstances,factor,AC"
"242,woods,path,AC"
"41,marble,jacks,AC"
"200,flock,swarm,AC"
"133,model,student,AC"
"122,trout,rainbow,AC"
"235,sprockets,gears,AC"
"164,suns,galaxies,AC"
"12,push,pull,AC"
"235,final frontier,enterprise,AC"
"39,angola,mozambique,AC"
"39,football,packer,AC"
"309,rules,engagement,AC"
"258,cowboys,dallas,AC"
"235,teacher,homeschool,AC"
"12,arsenic,poison,AC"
"39,moolah,dinero,AC"
"302,duckling,imprint,AC"
"248,cutter,pizza,AC"
"235,lips,mouth,AC"
"312,burgers,buns,AC"
"235,earth,earth angel,AC"
"312,henry,ford,AC"
"235,wolves,ravens,AC"
"118,spam,filter,AC"
"12,wendy and lisa,david and lisa,AC"
"235,science,teacher,AC"
"39,vacuum,pump,AC"
"12,exhausted,tuckered,AC"
"12,pit bull,yorkie,AC"
"302,handyman,tool,AC"
"43,hope,despair,AC"
"235,meat and flower,homonyms,AC"
"309,fingers,crossed,AC"
"221,weird n sad,ting,AC"
"262,sorrow,sad,AC"
"82,eureka,city,AC"
"39,admiral isaac kidd,captain kidd,AC"
"262,doris,gail,AC"
"12,condensed,milk,AC"
"164,nightmares,monsters,AC"
"172,skull,hamlet,AC"
"312,napa valley,ayia,AC"
"275,powerboat,overfishing,AC"
"254,arsenal,team,AC"
"248,surprise,ambush,AC"
"235,massacre,st,AC"
"12,knead,dough,AC"
"235,polyester,man-made,AC"
"12,round,ammunition,AC"
"262,let's make a deal,tv show,AC"
"12,down,pillow,AC"
"115,monkey,business,AC"
"302,vader,van,AC"
"133,hockey,stick,AC"
"82,potter,lego,AC"
"235,camera,italian word,AC"
"39,party,on,AC"
"235,bugs bunny,elmer fudd,AC"
"120,chops,pork,AC"
"262,hangman's knot,game,AC"
"133,cards,house,AC"
"302,pack,away,AC"
"235,register,sign in,AC"
"42,pressure,bowie,AC"
"235,stop,cease,AC"
"133,bela lugosi,isabella,AC"
"103,sales,currency,AC"
"12,thundering horses,clydesdales,AC"
"302,heart,barracuda,AC"
"235,disney,walt and his brother,AC"
"133,massacre,chainsaw,AC"
"39,fee,simple,AC"
"221,back,future,AC"
"248,4,golf,AC"
"221,plastic toy,buzzing,AC"
"248,proximity,sensor,AC"
"302,frosting,icing,AC"
"12,mine,claymore,AC"
"103,art,artist,AC"
"200,water,fall,AC"
"248,tank,viva,AC"
"12,close,call,AC"
"309,kite,fishing,AC"
"163,never,ever,AC"
"235,tools,power,AC"
"98,step-dad,family,AC"
"299,earthworms,host,AC"
"235,musician,the fairy tale,AC"
"248,buzzkill,buzz saw,AC"
"12,piecemeal,partial,AC"
"315,befuddlements,reprieve,AC"
"12,now that daddy took the t-bird away,little red corvette,AC"
"12,bourbon,street,AC"
"113,loser,winner,AC"
"39,headlights,taillights,AC"
"12,crowbar,slim jim,AC"
"299,carbid,proteic,AC"
"133,stir,up,AC"
"309,ward,montgomery,AC"
"302,pipe,cleaner,AC"
"12,well,walker,AC"
"262,sounds,noise,AC"
"133,wing,chicken,AC"
"42,oranges,butterfinger,AC"
"80,place where i find cheap furniture to add to my hoarding problem,five below,AC"
"235,fully,mr,AC"
"161,beam,ray,AC"
"241,tornado,shark,AC"
"42,university,flunk,AC"
"254,centurion,legion,AC"
"133,hand,two,AC"
"41,guy with white hair,einstein,AC"
"12,distal,femur,AC"
"235,sad animals,factory chickens,AC"
"82,outlaw,revolver,AC"
"59,pinky,thumb,AC"
"12,pastrami,brisket,AC"
"12,crystal blue persuasion,draggin',AC"
"42,grave,digger,AC"
"12,pick,axe,AC"
"12,award,figurine,AC"
"315,homophones,palindrome,AC"
"12,my phone isn't fast enough,dopey,AC"
"312,snore,me,AC"
"302,hill,hank,AC"
"309,support,bra,AC"
"22,over,under,AC"
"200,cricket,grasshopper,AC"
"312,layers,clothing,AC"
"39,killers,politics,AC"
"312,fibonacci,numbers,AC"
"309,data,statistics,AC"
"39,pigeon,rat,AC"
"39,figure,ledger,AC"
"312,abdomen,thorax,AC"
"235,tack,tick,AC"
"118,drainage,arterial,AC"
"235,chocolate,brown,AC"
"12,pain,management,AC"
"12,canyon,ravine,AC"
"262,white,snow,AC"
"221,jim dandy,blues,AC"
"43,board,walk,AC"
"302,beauty,black,AC"
"12,chest,cavity,AC"
"262,wash and wear,hair,AC"
"258,blue willow plates,bowls,AC"
"273,dog,ball,AC"
"179,dove,tail,AC"
"202,follow,whisper,AC"
"178,bush,luscious,AC"
"12,goldstein,professor,AC"
"262,when the chickens dance in the movie chicken run,the sky is falling in chicken little,AC"
"262,fishing,fish,AC"
"196,cane,sugar,AC"
"118,arthur,brown,AC"
"39,apples,oranges,AC"
"312,dry,ice,AC"
"163,july,summer,AC"
"39,lawrence welk,mahvelous,AC"
"235,first,front of the line,AC"
"111,new orleans,jazz,AC"
"133,live,wire,AC"
"12,big beard,blackbeard,AC"
"39,chicken gizzard,southern fried,AC"
"12,goat farm,organic lawn mowers,AC"
"199,oil,olive,AC"
"200,face,wrinkles,AC"
"248,clash,clans,AC"
"142,nadia comenice,russian,AC"
"39,control,ground,AC"
"235,bounce,rounded,AC"
"111,stress test,treadmill,AC"
"142,shifter,slider,AC"
"309,storyline,narrative,AC"
"235,scales,fish,AC"
"39,belief,assumption,AC"
"111,mississippi mud,decadent,AC"
"299,photograph,beauty,AC"
"110,trustworthy,reliable,AC"
"113,construction,buildings,AC"
"12,leaves,rake,AC"
"225,milliseconds,millepede,AC"
"126,shovel,coal,AC"
"302,people,magazine,AC"
"22,scent,nose,AC"
"312,wolves,pack,AC"
"312,jane,doe,AC"
"12,jerry reed,reeds,AC"
"254,daughterboard,chessboard,AC"
"221,explosive,danger,AC"
"312,minotaur,crete,AC"
"39,rollerblades,rollerskates,AC"
"12,bullets,rounds,AC"
"39,spelling,homophones,AC"
"12,pepper,smile,AC"
"235,reaping,harvesting,AC"
"262,baby,food,AC"
"254,twig,branch,AC"
"12,word that means movement,kinetic,AC"
"172,pinky,pondering,AC"
"164,plan,house,AC"
"12,butt,stock,AC"
"12,gas,shale,AC"
"8,dj vu,spook,AC"
"235,novel,fiction,AC"
"309,huh,language,AC"
"37,divergent,popcorn,AC"
"39,skinner,cigarette smoking man,AC"
"12,piano,keys,AC"
"100,laughter,happiness,AC"
"39,work,hell,AC"
"242,scammers,phishers,AC"
"128,thanks,god,AC"
"163,line,draw,AC"
"172,sheep,wolf,AC"
"133,brown fox,jumped over,AC"
"82,cross-country,road trip,AC"
"133,chess piece,pawn,AC"
"37,coal,stockings,AC"
"235,quick,brown fox,AC"
"254,freight,train,AC"
"39,solid,triple,AC"
"312,manual,labour,AC"
"312,type writer,face,AC"
"132,shoot,projectile,AC"
"275,bag,lady,AC"
"210,stilted,floods,AC"
"133,tower,bridge,AC"
"12,steal,hurt,AC"
"12,yummy,tacos,AC"
"312,politics,division,AC"
"248,recursion,gnu,AC"
"235,mignon,mignonette,AC"
"12,mars,bar,AC"
"254,figurine,statue,AC"
"248,ixquick,search,AC"
"235,maryland-style steamed crabs,exoskeleton,AC"
"309,haemoglobin,blood,AC"
"312,omega,6,AC"
"312,fusion,nuclear,AC"
"42,oops,carabiner,AC"
"12,investment,losses,AC"
"12,inquisitive,relentless,AC"
"235,diamond,baseball,AC"
"309,forward,advance,AC"
"235,democrats,plutocrats,AC"
"133,pack,lunch,AC"
"39,leisurely trip,michigan,AC"
"235,selous,safari,AC"
"126,stream,conciousness,AC"
"12,wings,pilots,AC"
"299,vengeance,riot,AC"
"235,pseudonym,homonym,AC"
"248,senior,elderly,AC"
"239,megalomaniac,omnipotence,AC"
"312,battery,field,AC"
"248,tinkertoy,tinkerbell,AC"
"312,curb,curtail,AC"
"39,sheriff joe arpaio,pink jump suit,AC"
"39,common,dog,AC"
"262,church,scary place,AC"
"235,transparent,plastic wrap,AC"
"97,fast,break,AC"
"200,school,master,AC"
"309,wow,box,AC"
"39,cycle,spin,AC"
"302,manager,baseball,AC"
"299,relative,perishable,AC"
"133,stipend,southend,AC"
"309,choice,preferred,AC"
"312,living,earth,AC"
"12,prize,luxury tax,AC"
"218,six six,devil,AC"
"142,harry and hermione,wendy and lisa,AC"
"12,the animals,the yardbirds,AC"
"262,evaporation,water,AC"
"12,beat,army,AC"
"235,consumerism,conspicuous consumption,AC"
"110,intuitive,understanding,AC"
"254,nausea,puke,AC"
"302,patience,plant,AC"
"133,luke & laura,the mysteries of laura,AC"
"315,riddler,batman,AC"
"254,communist,division,AC"
"248,mug,cup,AC"
"117,steam,boat,AC"
"172,bullock,nevermind,AC"
"122,tracks,music,AC"
"22,bikini,swimming,AC"
"218,candy,cane,AC"
"8,hurt,nine inch nails,AC"
"12,beginning,genesis,AC"
"235,being,state of existing in the present,AC"
"179,number 6,prisoner,AC"
"235,wormwood,bitter,AC"
"302,house of wax,madame tussaud's,AC"
"235,strengthen,effort,AC"
"302,dressing,stuffing,AC"
"302,time,bottle,AC"
"248,beer,bull,AC"
"172,shoot,bamboo,AC"
"8,electromagnet,magneto,AC"
"254,credo,creed,AC"
"12,haunting,grandmother,AC"
"12,decay,orbit,AC"
"317,exorcist,heretic,AC"
"12,muffin man,nursery rhyme,AC"
"110,enigma,break,AC"
"118,tried,guilty verdict,AC"
"12,fifth element,ruby,AC"
"241,garcon,waiter,AC"
"262,pan,gold,AC"
"235,diver's bends,escaping the war,AC"
"133,plastic choking hazard,buttons,AC"
"150,quinticental,five,AC"
"235,einstein,the name of my friend's cat,AC"
"12,water fountains,sea world,AC"
"302,tuckered,zonked,AC"
"235,rings,lord of the rings,AC"
"312,amino acid,compound,AC"
"39,goodyear,blimp,AC"
"262,mass,media,AC"
"164,fold,origami,AC"
"242,economic theory,game theory,AC"
"248,tails,heads,AC"
"242,loser,failure,AC"
"39,meowed,bark,AC"
"115,ambiguity,confusion,AC"
"39,condition,air,AC"
"115,damien,leper,AC"
"37,tiger,tigress,AC"
"235,rollmops,complete blank as i have never heard,AC"
"200,arithmetic,arthritic,AC"
"12,citric,vitamin,AC"
"271,mosquito,splat,AC"
"235,shower,water,AC"
"83,grandmother,century,AC"
"258,weight,lifting,AC"
"302,shar pei,lhasa apso,AC"
"235,author,person who writes,AC"
"172,ugliness,humanity,AC"
"133,house,doctor,AC"
"147,games,hunger,AC"
"262,five below,a great store,AC"
"235,chin,hand,AC"
"12,coors light,adolph,AC"
"309,fluctuation,shift,AC"
"12,exploration,exploitation,AC"
"97,childcare,patience,AC"
"271,star,trek,AC"
"12,film,richard,AC"
"235,man,human,AC"
"154,hunt,hound,AC"
"278,hack,crack,AC"
"164,platted,braided,AC"
"12,thunderbird 2,fireball 500,AC"
"28,bridge,troll,AC"
"39,fidelity,dog,AC"
"315,amoeba,filange,AC"
"97,rounds,doctor,AC"
"12,toque,beanie,AC"
"248,despicable,me too,AC"
"302,anime,japan,AC"
"235,assisted living,in home health care,AC"
"302,input,garbage,AC"
"312,dukes of hazzard,county,AC"
"12,fried rice,beef,AC"
"111,corrupt,politicians,AC"
"315,witchcraft,potions,AC"
"39,wrong,trousers,AC"
"12,fiesta,cheese,AC"
"235,lap,dance,AC"
"12,doctor,frankenstein,AC"
"235,torah,shalom,AC"
"200,beltway blues,blue suede shoes,AC"
"248,rod,stewart,AC"
"118,helvetica,switzerland,AC"
"39,halloween,scary,AC"
"39,ice,cube,AC"
"110,pouch,tobacco,AC"
"12,september 12th,16-Jul,AC"
"254,dance,music,AC"
"235,wild,scraggly,AC"
"42,pilot,pit,AC"
"235,serve,defend,AC"
"309,browser,chrome,AC"
"235,alphabetti spaghetti,betty spaghetty,AC"
"133,disrepected older fellow,respect your elders,AC"
"248,understanding,lack,AC"
"37,catma,mothra,AC"
"312,standard,banner,AC"
"235,walking on custard,milk and eggs,AC"
"105,newcastle's white and,coal,AC"
"12,mignonette,sauce,AC"
"312,dentist,drill,AC"
"235,cleaver,beaver,AC"
"200,respect,elders,AC"
"258,shop,safeway,AC"
"235,player,piano,AC"
"37,nun,charity,AC"
"111,mouth,tongue,AC"
"43,hide and seek game,bulimia,AC"
"12,adventure,land,AC"
"235,tree,branch,AC"
"235,presentation,awaiting,AC"
"221,bloody fangs,lestat,AC"
"39,individual,number 6,AC"
"39,a shooting star,comet debris,AC"
"221,shooting stars,the infinite and the finite,AC"
"312,caretaker,custodian,AC"
"235,pleasantville,black & white vs color,AC"
"39,c2,einstein,AC"
"133,herb,ie,AC"
"235,vacation,leaving usual activities behind,AC"
"248,enteropathy,intestine,AC"
"8,gnarly,surfers,AC"
"220,entertainment,comedy,AC"
"248,wood,forest,AC"
"110,viva,love,AC"
"39,lamp,shade,AC"
"248,shiny,polish,AC"
"254,show,tell,AC"
"302,funny,lady,AC"
"133,parakeet,canary,AC"
"262,petals,flowers,AC"
"262,cavities,teeth,AC"
"39,relaxation,chill,AC"
"200,unknown,anonymous,AC"
"309,listing,real estate,AC"
"312,ant,hill,AC"
"12,poltergeist,grandmother,AC"
"241,salad,word,AC"
"312,electronics,chip,AC"
"235,naff,word that i had to look up,AC"
"235,consternation,consecration,AC"
"235,old fart,disrepected older fellow,AC"
"235,police,uniforms,AC"
"235,corruption,gangsters,AC"
"235,mover,moving van to hire,AC"
"12,kalahari,gobi,AC"
"111,motorcycle,hog,AC"
"315,wormhole,cake,AC"
"42,act,out,AC"
"235,ice cream,vanilla,AC"
"12,monty python,spanish inquisition,AC"
"133,alge,green,AC"
"12,puke,hurl,AC"
"133,mainspring,wellspring,AC"
"39,railroad,pension,AC"
"118,pawn,movie,AC"
"262,dear,love,AC"
"248,merciful,punishment,AC"
"124,horn,trumpet,AC"
"235,pizza,but if you don't have enough to go around,AC"
"12,large animal,bert,AC"
"39,falconry,hallucinogenic corn,AC"
"161,boulder,hard place,AC"
"188,troll,internet,AC"
"12,aminoacids,life,AC"
"236,stupid,learning,AC"
"12,tropical flower,pharmaceuticals,AC"
"12,person who wrote something,thomas jefferson,AC"
"12,chaplin,tramp,AC"
"312,hors d'oeuvres,feast,AC"
"315,button,eyes,AC"
"235,poem,not prose,AC"
"309,gum,bubble,AC"
"282,light bulbs,filament,AC"
"39,food,pasta,AC"
"235,astroturf,astrodome,AC"
"76,knowledge,ignorance,AC"
"262,two point,main idea,AC"
"124,under,verse,AC"
"240,that one's easy,wool,AC"
"221,donnie & marie osmond,greg and marsha brady,AC"
"118,truth's,ministry of,AC"
"254,math,equation,AC"
"12,green,ireland,AC"
"97,hanging,ten,AC"
"12,mending,healing,AC"
"262,car malfunction,auto mechanic,AC"
"12,role-play,d&d,AC"
"12,apple,macintosh,AC"
"12,life,wheaties,AC"
"200,quantum mechanics,photons,AC"
"39,we,beatles,AC"
"210,um,band,AC"
"235,triage,setting priorities,AC"
"112,primed,ready,AC"
"302,light,beer,AC"
"295,comedy,tragedy,AC"
"125,deaf,sign,AC"
"115,mucky,manure,AC"
"248,bale,silage,AC"
"39,nt's,stress,AC"
"235,deflated,floppy,AC"
"12,verbal,instructions,AC"
"262,voyage,ship,AC"
"286,kirok,spock,AC"
"12,4,golf,AC"
"235,church,building,AC"
"122,slug,snail,AC"
"235,mind,perception,AC"
"302,play,stage,AC"
"111,egg,hen,AC"
"248,blood,blood,AC"
"12,secret,clandestine,AC"
"12,merry go round,ferris wheel,AC"
"248,bamboo,panda,AC"
"39,forbidden planet,mars,AC"
"254,democracy,political ideology,AC"
"12,benefits,insurance,AC"
"248,house at the lake,ma's story,AC"
"46,swim,mermaid,AC"
"309,car,fax,AC"
"179,ny,city,AC"
"39,asylum,work,AC"
"235,the habit,nuns,AC"
"39,sausage,correct,AC"
"12,abacus,old school,AC"
"195,royal flush,punto banco,AC"
"133,postage,price,AC"
"202,ebay,amazon,AC"
"12,fab four,on top of the pyramid,AC"
"235,boston,beans,AC"
"248,eider,ducks,AC"
"12,circe,sorceress,AC"
"56,surfboards,polyurethane,AC"
"118,emotional health,small green man,AC"
"315,van,panel,AC"
"262,parking,ticket,AC"
"12,inhale,ingest,AC"
"315,tale,yarn,AC"
"122,hm prison,oats,AC"
"12,doors,portals,AC"
"312,ruin,parthenon,AC"
"39,200 sx,fairlady,AC"
"312,puppies,mammaries,AC"
"118,religion,evil,AC"
"262,gun,pistol,AC"
"262,laughter,giggle,AC"
"122,hope,gamble,AC"
"39,popcorn,butter,AC"
"12,gas,diesel,AC"
"235,chilli sauce,peppers and tomatoes,AC"
"235,look,glance,AC"
"312,booklet,spine,AC"
"254,patient,ward,AC"
"235,space exploration,risky,AC"
"82,volkswagen,vroom,AC"
"304,adjudicate,abdicate,AC"
"302,grooming,cats,AC"
"12,audio,rca jacks,AC"
"302,california,girls,AC"
"39,love,amore,AC"
"235,fear,and loathing,AC"
"235,web,spider's lair and duck's foot,AC"
"188,thick lumpish dull-witted,brute,AC"
"133,helen mirren,prime suspect,AC"
"262,fish,cod,AC"
"12,milk to make cheese out of,dairy,AC"
"254,i was thinking of something else,iron,AC"
"248,bad santa,grinch,AC"
"12,danny john-jules,red dwarf,AC"
"12,persevere,struggle,AC"
"39,mania,helter skelter,AC"
"206,steely dan,metal can,AC"
"309,floss,thong,AC"
"12,beards,rockers,AC"
"39,easter basket full of candy and colored eggs,chocolate bunny,AC"
"168,admiral,captain kirk,AC"
"39,action,adventure,AC"
"12,away,down,AC"
